type,code,content,hsn_code_4_digit,chapter_no,sch,gst_rate
hsn,8472.00.00,"Braille type writers, electronic or non-electronic",Brai,84,IV,18%
hsn,8472.100.00,Duplicating machines,Dupl,84,V,28%
hsn,8472.20.00,Addressing machines and address plate embossing machines,Addr,84,V,28%
hsn,8472.30.00,Machines for sorting or folding mail or for inserting mail in envelope,Mach,84,V,28%
hsn,8472.90.00,Other office machines,Othe,84,V,28%
hsn,8472.90.20,Digital duplicators,Digi,84,V,28%
hsn,8472.90.30,Automatic bank note dispensers,Auto,84,V,28%
hsn,8473.00.00,"Parts and accessories (other than covers, carrying cases and the like) suitable for use
solely or principally with machines",Part,84,IV,18%
hsn,8473.00.00,"Copier machines : Toners, Developers, PCB's, Spares & Consumables",Copi,84,IV,18%
hsn,8473.00.00,Multi Functional Digital Copiers  : Spares & Consumables,Mult,84,IV,18%
hsn,8473.00.00,Parts etc for typewriters & other office machines computer accessories,Part,84,IV,18%
hsn,8473.100.00,Parts and accessories of typewriters and word- processing machines,Part,84,IV,18%
hsn,8473.21.00,Parts and accessories of the electronic calculating machines,Part,84,IV,18%
hsn,8473.29.00,"Parts, accessories, of machines incorporating a calculating device",Part,84,IV,18%
hsn,8473.30.00,Parts and accessories of the automatic data processing machines,Part,84,IV,18%
hsn,8473.40.00,"Parts, accessories, of duplicating machines, or other office machines",Part,84,IV,18%
hsn,8474.00.00,"Machinery for sorting, screening, separating, washing, crushing, rinding, mixing or kneading earth, stone, ores or other mineral substances, in solid (including powder or paste) form; machinery for agglomerating, shaping or moulding solid mineral fuels, ceramic paste, unhardened cements, plastering materials or other mineral products in powder or paste form; machines for forming foundry moulds of sand",Mach,84,IV,18%
hsn,8474.100.00,"Sorting, screening, separating or washing machines, for mineral substance",Sort,84,IV,18%
hsn,8474.100.100,"Sorting, screening, separating or washing machines, for coal",Sort,84,IV,18%
hsn,8474.20.00,Crushing or grinding machines for mineral substances,Crus,84,IV,18%
hsn,8474.20.100,Crushing or grinding machines for stone and mineral,Crus,84,IV,18%
hsn,8474.20.20,Crushing or grinding machines for coal,Crus,84,IV,18%
hsn,8474.31.00,Concrete or mortar mixers,Conc,84,IV,18%
hsn,8474.31.100,Concrete mixtures,Conc,84,IV,18%
hsn,8474.31.20,Motor mixtures,Moto,84,IV,18%
hsn,8474.32.00,Machines for mixing mineral substances with bitumen,Mach,84,IV,18%
hsn,8474.39.00,Other mixing or kneading machines for mineral substances,Othe,84,IV,18%
hsn,8474.80.00,"Machinery for agglomerating, shaping or moulding mineral products",Mach,84,IV,18%
hsn,8474.80.100,Brick and tile making machinery,Bric,84,IV,18%
hsn,8474.80.20,Ceramic and clay making machinery,Cera,84,IV,18%
hsn,8474.80.30,Machinery for forming foundry moulds of sand,Mach,84,IV,18%
hsn,8474.90.00,"Parts of machinery for sorting, crushing, mixing, moulding or shaping",Part,84,IV,18%
hsn,8475.00.00,"Machines for assembling electric or electronic lamps, tubes or valves or flash-bulbs, in glass envelopes; machines or manufacturing or hot working glass or glassware.",Mach,84,IV,18%
hsn,8475.100.00,"Machines for assembling electric lamps or tubes, in glass envelopes",Mach,84,IV,18%
hsn,8475.20.00,Machines for manufacturing or hot working glass or glassware,Mach,84,IV,18%
hsn,8475.90.00,Parts of machines for assembling electric or electronic lamps or lubes,Part,84,IV,18%
hsn,8476.00.00,"Automatic goods-vending machines (for example, postage stamps, cigarette, food or beverage machines), including money
changing machines",Auto,84,V,28%
hsn,8476.11.00,"Vending machines, incorporating heating or refrigerating devices",Vend,84,V,28%
hsn,8476.19.00,"Vending machines, not incorporating heating or refrigerating devices",Vend,84,V,28%
hsn,8476.90.00,"Parts of vending machines, including money- changing machines",Part,84,V,28%
hsn,8477.00.00,"Machinery for working rubber or plastics or for the manufacture of products from these materials not elsewhere specified in this
chapter",Mach,84,IV,18%
hsn,8477.100.00,"Injection-moulding machines, for rubber or plastic industry",Inje,84,IV,18%
hsn,8477.20.00,"Extruders, for rubber or plastic industry",Extr,84,IV,18%
